FECHA_CORTE,FECHA_EMISION,MES_FACTURACION,COD_EMPRESA,RAZON_SOCIAL,GRUPO,COD_SIS_ELECTR,COD_TARIFA,ATARIFA,USO,SUMINISTROS,PROMEDIO_CONSUMO
20250204,20220331,202203,ELNM,HIDRANDINA S. A.,PUBLICAS,SR0130,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,184
20250204,20240229,202402,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0123,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,66,57
20250204,20240331,202403,ELC ,ELECTRO CENTRO,PUBLICAS,SE2065,4,1P2E-MT Presente en Fuera de Punta                                                                                                                    ,Industrial,1,453
20250204,20230930,202309,ELNO,ELECTRO NOROESTE S.A.,PUBLICAS,SR0133,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,22,604
20250204,20240531,202405,ELNM,HIDRANDINA S. A.,PUBLICAS,SR0072,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,24,206
20250204,20220228,202202,ELC ,ELECTRO CENTRO,PUBLICAS,SE0162,4,1P2E-MT Presente en Fuera de Punta                                                                                                                    ,Industrial,1,9944
20250204,20230430,202304,ELOR,ELECTRO ORIENTE S.A.,PUBLICAS,SE4233,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,8,1272
20250204,20241031,202410,ELNM,HIDRANDINA S. A.,PUBLICAS,SR0011,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,9,393
20250204,20220831,202208,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE0106,49,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,6,6337
20250204,20241031,202410,ELNM,HIDRANDINA S. A.,PUBLICAS,SR0012,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,8,236
20250204,20240930,202409,ADIL,ADINELSA,PUBLICAS,SE0206,92,De 101 a 140 kW.h                                                                                                                                     ,Residencial,1,137
20250204,20220731,202207,EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,176,590
20250204,20221231,202212,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE0243,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,47,203
20250204,20220131,202201,ELPU,ELECTRO PUNO S.A.A.,PUBLICAS,SR0122,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,14,40
20250204,20220531,202205,ELPU,ELECTRO PUNO S.A.A.,PUBLICAS,SE0238,46,De 301 a 500 kW.h                                                                                                                                     ,Residencial,4,364
20250204,20241231,202412,ELC ,ELECTRO CENTRO,PUBLICAS,SR0114,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,1,626
20250204,20230630,202306,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0120,8,1P2E-BT Presente en Punta                                                                                                                             ,Comercial,4,1965
20250204,20230731,202307,ELNO,ELECTRO NOROESTE S.A.,PUBLICAS,SE1165,93,De 141 a 150 kW.h                                                                                                                                     ,Residencial,7,144
20250204,20221231,202212,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE0094,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,16,7
